train_accuracy_step,epoch,step,valid_loss,valid_accuracy,train_loss,train_accuracy_epoch,test_loss,test_accuracy
0.90625,5,1314,,,,,,
0.96875,5,1319,,,,,,
0.9375,5,1324,,,,,,
0.96875,5,1329,,,,,,
0.9375,5,1334,,,,,,
0.96875,5,1339,,,,,,
0.96875,5,1344,,,,,,
1.0,5,1349,,,,,,
0.96875,5,1354,,,,,,
0.96875,5,1359,,,,,,
1.0,5,1364,,,,,,
0.9375,5,1369,,,,,,
1.0,5,1374,,,,,,
1.0,5,1379,,,,,,
1.0,5,1384,,,,,,
1.0,5,1389,,,,,,
0.96875,5,1394,,,,,,
0.96875,5,1399,,,,,,
0.96875,5,1404,,,,,,
0.90625,5,1409,,,,,,
0.9375,5,1414,,,,,,
0.90625,5,1419,,,,,,
1.0,5,1424,,,,,,
0.96875,5,1429,,,,,,
0.9375,5,1434,,,,,,
0.96875,5,1439,,,,,,
0.96875,5,1444,,,,,,
0.9375,5,1449,,,,,,
0.96875,5,1454,,,,,,
0.96875,5,1459,,,,,,
0.96875,5,1464,,,,,,
1.0,5,1469,,,,,,
0.96875,5,1474,,,,,,
0.96875,5,1479,,,,,,
1.0,5,1484,,,,,,
0.96875,5,1489,,,,,,
0.9375,5,1494,,,,,,
1.0,5,1499,,,,,,
,5,1499,0.1501399576663971,0.972000002861023,,,,
,5,1499,,,0.13656215369701385,0.9651250243186951,,
0.96875,6,1504,,,,,,
1.0,6,1509,,,,,,
0.9375,6,1514,,,,,,
0.9375,6,1519,,,,,,
0.96875,6,1524,,,,,,
0.96875,6,1529,,,,,,
0.96875,6,1534,,,,,,
0.9375,6,1539,,,,,,
0.9375,6,1544,,,,,,
0.96875,6,1549,,,,,,
0.9375,6,1554,,,,,,
1.0,6,1559,,,,,,
0.9375,6,1564,,,,,,
1.0,6,1569,,,,,,
0.9375,6,1574,,,,,,
0.96875,6,1579,,,,,,
1.0,6,1584,,,,,,
1.0,6,1589,,,,,,
0.96875,6,1594,,,,,,
0.9375,6,1599,,,,,,
1.0,6,1604,,,,,,
0.96875,6,1609,,,,,,
0.96875,6,1614,,,,,,
0.96875,6,1619,,,,,,
0.96875,6,1624,,,,,,
0.90625,6,1629,,,,,,
0.96875,6,1634,,,,,,
1.0,6,1639,,,,,,
0.96875,6,1644,,,,,,
1.0,6,1649,,,,,,
0.96875,6,1654,,,,,,
0.96875,6,1659,,,,,,
1.0,6,1664,,,,,,
1.0,6,1669,,,,,,
0.96875,6,1674,,,,,,
0.875,6,1679,,,,,,
0.96875,6,1684,,,,,,
0.96875,6,1689,,,,,,
1.0,6,1694,,,,,,
0.96875,6,1699,,,,,,
1.0,6,1704,,,,,,
0.90625,6,1709,,,,,,
1.0,6,1714,,,,,,
1.0,6,1719,,,,,,
0.875,6,1724,,,,,,
0.9375,6,1729,,,,,,
0.96875,6,1734,,,,,,
1.0,6,1739,,,,,,
0.96875,6,1744,,,,,,
0.96875,6,1749,,,,,,
,6,1749,0.15181712806224823,0.972000002861023,,,,
,6,1749,,,0.1352933943271637,0.9651250243186951,,
1.0,7,1754,,,,,,
0.96875,7,1759,,,,,,
0.96875,7,1764,,,,,,
1.0,7,1769,,,,,,
1.0,7,1774,,,,,,
0.90625,7,1779,,,,,,
0.9375,7,1784,,,,,,
0.96875,7,1789,,,,,,
1.0,7,1794,,,,,,
1.0,7,1799,,,,,,
1.0,7,1804,,,,,,
0.96875,7,1809,,,,,,
0.9375,7,1814,,,,,,
1.0,7,1819,,,,,,
0.9375,7,1824,,,,,,
0.9375,7,1829,,,,,,
0.96875,7,1834,,,,,,
0.96875,7,1839,,,,,,
0.96875,7,1844,,,,,,
1.0,7,1849,,,,,,
0.96875,7,1854,,,,,,
0.9375,7,1859,,,,,,
0.96875,7,1864,,,,,,
1.0,7,1869,,,,,,
0.90625,7,1874,,,,,,
0.96875,7,1879,,,,,,
0.90625,7,1884,,,,,,
0.96875,7,1889,,,,,,
0.96875,7,1894,,,,,,
0.96875,7,1899,,,,,,
0.90625,7,1904,,,,,,
1.0,7,1909,,,,,,
0.96875,7,1914,,,,,,
0.96875,7,1919,,,,,,
0.9375,7,1924,,,,,,
0.9375,7,1929,,,,,,
0.9375,7,1934,,,,,,
0.9375,7,1939,,,,,,
0.96875,7,1944,,,,,,
1.0,7,1949,,,,,,
0.9375,7,1954,,,,,,
0.875,7,1959,,,,,,
1.0,7,1964,,,,,,
1.0,7,1969,,,,,,
0.90625,7,1974,,,,,,
0.96875,7,1979,,,,,,
1.0,7,1984,,,,,,
0.96875,7,1989,,,,,,
0.96875,7,1994,,,,,,
0.96875,7,1999,,,,,,
,7,1999,0.14970019459724426,0.972000002861023,,,,
,7,1999,,,0.13620023429393768,0.9651250243186951,,
1.0,8,2004,,,,,,
1.0,8,2009,,,,,,
0.90625,8,2014,,,,,,
0.96875,8,2019,,,,,,
0.96875,8,2024,,,,,,
0.96875,8,2029,,,,,,
0.96875,8,2034,,,,,,
0.9375,8,2039,,,,,,
1.0,8,2044,,,,,,
1.0,8,2049,,,,,,
0.9375,8,2054,,,,,,
1.0,8,2059,,,,,,
0.9375,8,2064,,,,,,
1.0,8,2069,,,,,,
0.96875,8,2074,,,,,,
1.0,8,2079,,,,,,
0.9375,8,2084,,,,,,
0.96875,8,2089,,,,,,
0.96875,8,2094,,,,,,
0.96875,8,2099,,,,,,
1.0,8,2104,,,,,,
0.96875,8,2109,,,,,,
0.96875,8,2114,,,,,,
0.9375,8,2119,,,,,,
1.0,8,2124,,,,,,
1.0,8,2129,,,,,,
0.96875,8,2134,,,,,,
0.96875,8,2139,,,,,,
0.96875,8,2144,,,,,,
1.0,8,2149,,,,,,
0.96875,8,2154,,,,,,
1.0,8,2159,,,,,,
1.0,8,2164,,,,,,
0.9375,8,2169,,,,,,
0.96875,8,2174,,,,,,
0.90625,8,2179,,,,,,
1.0,8,2184,,,,,,
0.96875,8,2189,,,,,,
0.96875,8,2194,,,,,,
0.9375,8,2199,,,,,,
0.9375,8,2204,,,,,,
0.875,8,2209,,,,,,
1.0,8,2214,,,,,,
0.96875,8,2219,,,,,,
0.96875,8,2224,,,,,,
0.96875,8,2229,,,,,,
0.9375,8,2234,,,,,,
1.0,8,2239,,,,,,
0.96875,8,2244,,,,,,
0.96875,8,2249,,,,,,
,8,2249,0.14834655821323395,0.972000002861023,,,,
,8,2249,,,0.13864700496196747,0.9651250243186951,,
0.90625,9,2254,,,,,,
0.9375,9,2259,,,,,,
0.96875,9,2264,,,,,,
0.96875,9,2269,,,,,,
0.96875,9,2274,,,,,,
0.9375,9,2279,,,,,,
0.90625,9,2284,,,,,,
1.0,9,2289,,,,,,
1.0,9,2294,,,,,,
0.9375,9,2299,,,,,,
0.96875,9,2304,,,,,,
0.96875,9,2309,,,,,,
1.0,9,2314,,,,,,
0.96875,9,2319,,,,,,
0.90625,9,2324,,,,,,
0.96875,9,2329,,,,,,
1.0,9,2334,,,,,,
0.90625,9,2339,,,,,,
0.96875,9,2344,,,,,,
1.0,9,2349,,,,,,
0.90625,9,2354,,,,,,
0.96875,9,2359,,,,,,
1.0,9,2364,,,,,,
0.96875,9,2369,,,,,,
1.0,9,2374,,,,,,
0.96875,9,2379,,,,,,
1.0,9,2384,,,,,,
0.9375,9,2389,,,,,,
1.0,9,2394,,,,,,
0.96875,9,2399,,,,,,
0.9375,9,2404,,,,,,
1.0,9,2409,,,,,,
0.96875,9,2414,,,,,,
1.0,9,2419,,,,,,
1.0,9,2424,,,,,,
1.0,9,2429,,,,,,
0.96875,9,2434,,,,,,
0.9375,9,2439,,,,,,
0.96875,9,2444,,,,,,
0.9375,9,2449,,,,,,
0.96875,9,2454,,,,,,
0.9375,9,2459,,,,,,
1.0,9,2464,,,,,,
1.0,9,2469,,,,,,
0.96875,9,2474,,,,,,
1.0,9,2479,,,,,,
1.0,9,2484,,,,,,
0.90625,9,2489,,,,,,
0.9375,9,2494,,,,,,
0.96875,9,2499,,,,,,
,9,2499,0.14692342281341553,0.972000002861023,,,,
,9,2499,,,0.13682052493095398,0.9651250243186951,,
0.96875,10,2504,,,,,,
1.0,10,2509,,,,,,
0.9375,10,2514,,,,,,
0.9375,10,2519,,,,,,
1.0,10,2524,,,,,,
0.96875,10,2529,,,,,,
1.0,10,2534,,,,,,
0.96875,10,2539,,,,,,
1.0,10,2544,,,,,,
0.9375,10,2549,,,,,,
0.9375,10,2554,,,,,,
0.96875,10,2559,,,,,,
1.0,10,2564,,,,,,
0.9375,10,2569,,,,,,
1.0,10,2574,,,,,,
1.0,10,2579,,,,,,
1.0,10,2584,,,,,,
0.96875,10,2589,,,,,,
0.90625,10,2594,,,,,,
0.9375,10,2599,,,,,,
0.96875,10,2604,,,,,,
0.96875,10,2609,,,,,,
1.0,10,2614,,,,,,
1.0,10,2619,,,,,,
0.96875,10,2624,,,,,,
1.0,10,2629,,,,,,
0.96875,10,2634,,,,,,
1.0,10,2639,,,,,,
0.96875,10,2644,,,,,,
1.0,10,2649,,,,,,
0.9375,10,2654,,,,,,
0.96875,10,2659,,,,,,
0.96875,10,2664,,,,,,
1.0,10,2669,,,,,,
0.96875,10,2674,,,,,,
0.96875,10,2679,,,,,,
1.0,10,2684,,,,,,
0.90625,10,2689,,,,,,
0.96875,10,2694,,,,,,
1.0,10,2699,,,,,,
0.96875,10,2704,,,,,,
0.96875,10,2709,,,,,,
0.90625,10,2714,,,,,,
0.875,10,2719,,,,,,
0.96875,10,2724,,,,,,
0.90625,10,2729,,,,,,
0.9375,10,2734,,,,,,
0.96875,10,2739,,,,,,
0.96875,10,2744,,,,,,
0.96875,10,2749,,,,,,
,10,2749,0.15040479600429535,0.972000002861023,,,,
,10,2749,,,0.13701580464839935,0.9651250243186951,,
1.0,11,2754,,,,,,
1.0,11,2759,,,,,,
0.9375,11,2764,,,,,,
1.0,11,2769,,,,,,
0.96875,11,2774,,,,,,
0.9375,11,2779,,,,,,
1.0,11,2784,,,,,,
0.96875,11,2789,,,,,,
0.90625,11,2794,,,,,,
0.9375,11,2799,,,,,,
1.0,11,2804,,,,,,
1.0,11,2809,,,,,,
0.96875,11,2814,,,,,,
0.96875,11,2819,,,,,,
0.96875,11,2824,,,,,,
0.96875,11,2829,,,,,,
1.0,11,2834,,,,,,
1.0,11,2839,,,,,,
1.0,11,2844,,,,,,
0.90625,11,2849,,,,,,
1.0,11,2854,,,,,,
0.96875,11,2859,,,,,,
0.96875,11,2864,,,,,,
1.0,11,2869,,,,,,
0.96875,11,2874,,,,,,
0.96875,11,2879,,,,,,
1.0,11,2884,,,,,,
1.0,11,2889,,,,,,
1.0,11,2894,,,,,,
0.9375,11,2899,,,,,,
1.0,11,2904,,,,,,
0.9375,11,2909,,,,,,
0.96875,11,2914,,,,,,
1.0,11,2919,,,,,,
0.96875,11,2924,,,,,,
1.0,11,2929,,,,,,
0.9375,11,2934,,,,,,
0.9375,11,2939,,,,,,
0.90625,11,2944,,,,,,
0.9375,11,2949,,,,,,
1.0,11,2954,,,,,,
1.0,11,2959,,,,,,
0.90625,11,2964,,,,,,
1.0,11,2969,,,,,,
0.90625,11,2974,,,,,,
0.96875,11,2979,,,,,,
1.0,11,2984,,,,,,
0.875,11,2989,,,,,,
0.90625,11,2994,,,,,,
0.96875,11,2999,,,,,,
,11,2999,0.14839603006839752,0.972000002861023,,,,
,11,2999,,,0.1372734159231186,0.9651250243186951,,
0.9375,12,3004,,,,,,
1.0,12,3009,,,,,,
0.9375,12,3014,,,,,,
1.0,12,3019,,,,,,
0.9375,12,3024,,,,,,
0.875,12,3029,,,,,,
1.0,12,3034,,,,,,
0.96875,12,3039,,,,,,
0.9375,12,3044,,,,,,
0.96875,12,3049,,,,,,
0.96875,12,3054,,,,,,
0.96875,12,3059,,,,,,
0.9375,12,3064,,,,,,
0.96875,12,3069,,,,,,
0.96875,12,3074,,,,,,
0.9375,12,3079,,,,,,
1.0,12,3084,,,,,,
1.0,12,3089,,,,,,
1.0,12,3094,,,,,,
0.96875,12,3099,,,,,,
